gtap23,n_hs6,FTA_coef,FTA_SE,t_stat,pct_trade_chg,positive,sig_1pct,sig_5pct,sig_10pct,pos_sig_1pct,pos_sig_5pct,pos_sig_10pct,nobs,status
aff,296,0.37167627212398086,0.04900260183566821,7.5848272989750445,0.45016344696401767,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,15675934,ok
b_t,32,0.2902619893453373,0.09314652887261146,3.116186860192115,0.3367776636572899,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2526996,ok
crp,997,0.20388704281337006,0.06208916070357657,3.2837783681238486,0.22615964208990103,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,52940785,ok
eeq,289,0.2781194422536236,0.05704101465794681,4.875780066701123,0.3206439284760705,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,22382283,ok
enr,118,0.32939090061324966,0.09618755882408704,3.424464708743231,0.3901211486033864,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5051116,ok
mff,888,0.40051894900243223,0.05867462962423613,6.826101017891965,0.49259907949488135,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,53765482,ok
mvh,54,0.7822636804810892,0.08324296948722787,9.397354338748253,1.1864160151093124,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5842709,ok
ofd,270,0.3767519684591265,0.05118850067571776,7.360089932031277,0.4575427479600971,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,17366552,ok
ome,642,0.32295651469476994,0.05146503296555498,6.275261008982962,0.3812052874661902,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,50166182,ok
omf,201,0.36474436666465865,0.08149056429503,4.475909202740715,0.4401458118123418,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,14980060,ok
otn,82,0.12033489783948345,0.07083704006791904,1.6987567199886604,0.1278745110741386,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,4441798,ok
ppp,146,0.41558429311840916,0.058001764921618855,7.165028403532415,0.5152558356468195,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11083730,ok
prf,160,0.6547469225844202,0.07745344630394427,8.453425300341706,0.9246553689291774,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7674967,ok
tal,875,0.16559357221735607,0.06792012520244768,2.438063412335825,0.18009338150770882,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,52190138,ok
