gtap23,n_hs6,FTA_coef,FTA_SE,t_stat,pct_trade_chg,positive,sig_1pct,sig_5pct,sig_10pct,pos_sig_1pct,pos_sig_5pct,pos_sig_10pct,nobs,status
aff,296,-0.023327425581681955,0.041252153715135874,0.5654838228027562,-0.02305744458470571,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12314839,ok
b_t,32,0.0853897435075971,0.05514441872531069,1.548474813615256,0.08914146980556015,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1573656,ok
crp,997,-0.020905493687290486,0.0235653877629029,0.8871270822116633,-0.020688488683806683,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,46808256,ok
eeq,289,-0.04917205133347947,0.039017009027179604,1.2602721879379777,-0.04798268024231034,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,17680033,ok
enr,118,-0.06862378767573851,0.058032400642738444,1.1825081663983406,-0.06632212486437838,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3666398,ok
mff,888,0.1397703668544309,0.04024967772378463,3.472583502745335,0.1500096881919719,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,46698984,ok
mvh,54,-0.0486668382136786,0.04661410376919867,1.044036767383616,-0.04750158708503649,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3744770,ok
ofd,270,0.07322718289785848,0.02534869611378849,2.8887948543446527,0.07597495225783635,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,13548719,ok
ome,642,-0.031019871780884688,0.020344789612950318,1.524708407952237,-0.03054369193871953,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42318873,ok
omf,201,-0.011591921513319458,0.035745624860256016,0.32428923983387975,-0.01152499404673235,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12070693,ok
otn,82,-0.11718763862973194,0.06922427647868662,1.6928691001315515,-0.11058171172387177,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2933699,ok
ppp,146,-0.07610274034538103,0.02961489859341424,2.569745093177687,-0.07327900996641123,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,7838530,ok
prf,160,0.0557174846272236,0.05070877608717697,1.0987739978467594,0.05729893833481414,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5530959,ok
tal,875,0.010833840774471283,0.05338836934691674,0.2029251109745114,0.010892739334473767,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,45796647,ok
