gtap23,n_hs6,n_cells,FTA_coef,FTA_SE,t_stat,pct_trade_chg,positive,sig_1pct,sig_5pct,sig_10pct,pos_sig_1pct,pos_sig_5pct,pos_sig_10pct,nobs,status
aff,296,15,0.06579831072902179,0.056800158757525296,1.1584177257304646,0.06801128902367148,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9240574,ok
b_t,32,15,0.14640540081147935,0.08168066180974372,1.7924120295755805,0.15766541142981572,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1276826,ok
crp,997,15,-0.020132725209800664,0.03600552653735693,0.5591565280655538,-0.019931415134606834,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36985695,ok
eeq,289,15,-0.19336408369014887,0.05026818852036628,3.846649131026612,-0.17581815166172776,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,15314059,ok
enr,118,15,0.06948337197608728,0.09030918840435238,0.7693942687756298,0.07195423657589806,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2717595,ok
mff,888,15,0.03448976083208401,0.03335520403084506,1.0340143864864315,0.03509142984689584,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37131656,ok
mvh,54,15,-0.19765249872587243,0.05380310907371394,3.6736259693668445,-0.17934501775445288,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,3140623,ok
ofd,270,15,0.14204759058113164,0.03784885371181516,3.7530222622512106,0.1526315016347426,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10707625,ok
ome,642,15,-0.09515461696057018,0.031947944788583614,2.978426862518338,-0.09076765914156248,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,35245873,ok
omf,201,15,-0.14779952061112472,0.0469440558684247,3.1484182156177303,-0.1373959680625163,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,10178765,ok
otn,82,15,-0.18241261930457764,0.08563135755584736,2.130208191381424,-0.166742548637132,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2359255,ok
ppp,146,15,-0.043880084702545764,0.042900186288751696,1.0228413556808027,-0.04293128222787279,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6417053,ok
prf,160,15,0.24577106202607887,0.07061574255475828,3.4804004480374635,0.2786068183771888,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4039788,ok
tal,875,15,-0.17783303664877662,0.0497454620632104,3.574859480103096,-0.1629178261331541,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,37511206,ok
