gtap23,type,matched_coef,matched_SE,t_stat,other_coef,other_SE,positive,sig_1pct,sig_5pct,sig_10pct,pos_sig_1pct,pos_sig_5pct,pos_sig_10pct,matched_share,nobs,status
aff,agri,0.6721315544478469,0.11819660175399195,5.686555657892647,0.23937931160155834,0.05178178539451972,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0016088028476394078,15675934,ok
b_t,agri,-0.20485200830533695,0.2839665469554111,0.7213948632389545,0.23515785719000254,0.08783122058804146,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0015112638519862614,2526996,ok
crp,goods,0.019240489459714294,0.10713891164301903,0.1795845147636234,0.22473313925286892,0.05989050330429233,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.002252190550365018,52940785,ok
eeq,goods,0.21516602730211487,0.1372981695588563,1.5671441796598649,0.26150872642031797,0.05900985280381633,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.001832045240973512,22382283,ok
enr,goods,0.3595500293059225,0.20082504483617794,1.790364491636109,0.29111592455571433,0.10312847511839184,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.002030108195611813,5051116,ok
mff,goods,0.4553065560806128,0.11994567648939526,3.7959397070962186,0.24625985841083622,0.06479162497023085,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.002046925692543085,53765482,ok
mvh,goods,0.7066991974737635,0.2204627638701464,3.2055263440769193,0.7439810019614459,0.08374895670255898,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0016813244651634617,5842709,ok
ofd,agri,0.2757291062064461,0.11053825096390114,2.494422553297789,0.35453864434037025,0.052299257066308336,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0.0016611257462208586,17366552,ok
ome,goods,0.3789520981507097,0.12614859467578146,3.004013632689818,0.2260029268483656,0.05244118981114763,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.001952973833315325,50166182,ok
omf,goods,0.24674486954471833,0.12764929305363115,1.9329904901318162,0.3231460449702774,0.08203283128278596,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.001960079061605308,14980060,ok
otn,goods,0.14323030979338097,0.1462927346683053,0.9790664595759463,0.021398911120421846,0.07221318247106792,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.001878281130251245,4441798,ok
ppp,goods,0.2015751065176567,0.15161200431114452,1.3295458194984073,0.3733076283164807,0.061825873032625704,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0019991631300073746,11083730,ok
prf,agri,1.2666041524793716,0.2011228886524752,6.29766289140748,0.3477134739448125,0.08034234334236556,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0017613511874978664,7674967,ok
tal,goods,0.7380303272854685,0.1501087038027574,4.916639132766339,0.03275960005000347,0.0611686459459865,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0021252999052535637,52190138,ok
