gtap23,type,matched_coef,matched_SE,t_stat,other_coef,other_SE,n_cells,positive,sig_1pct,sig_5pct,sig_10pct,pos_sig_1pct,pos_sig_5pct,pos_sig_10pct,matched_share,nobs,status
aff,agri,-0.0022166451594880536,0.11075306873636656,0.0200143001433621,-0.02655977093906644,0.04453390702087764,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0016088028476394078,12314839,ok
b_t,agri,-0.0998372030001913,0.14915920908777502,0.6693331481896003,0.059042013988681794,0.059400933025449715,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0015112638519862614,1573656,ok
eeq,goods,0.07729544552214809,0.09632308017670102,0.8024602761908417,-0.09015618888739824,0.041633911252826866,15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.001832045240973512,17680033,ok
enr,goods,-0.0013532167404362284,0.13946619749324138,0.009702829536897686,-0.021183284606600225,0.06740533283115419,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.002030108195611813,3666398,ok
mff,goods,-0.07557971132146174,0.09394918790038492,0.8044743441699519,0.149779607818314,0.04767901787980356,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.002046925692543085,46698984,ok
mvh,goods,-0.019404664611377416,0.10138834525023507,0.19138949909365865,-0.011659445231738993,0.052207841979439375,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0016813244651634617,3744770,ok
ofd,agri,-0.06288757783318542,0.06326063714095372,0.9941028208910216,0.07369699097461786,0.028147120189514818,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0016611257462208586,13548719,ok
ome,goods,-0.012692399383963668,0.04435885137594466,0.2861300279485285,-0.0035063213322461192,0.02508501121250729,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.001952973833315325,42318873,ok
omf,goods,-0.2599402191899312,0.0822187548235708,3.1615684249624576,0.016720428601102864,0.040440708604338294,15,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.001960079061605308,12070693,ok
otn,goods,-0.40918398613653517,0.237533661962075,1.722635784572993,-0.03727059677237832,0.06715031365962051,15,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.001878281130251245,2933699,ok
ppp,goods,-0.06840816459856382,0.05237020742524097,1.3062420021195678,-0.06454691258760567,0.03334557037579359,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0019991631300073746,7838530,ok
prf,agri,0.3127433721027959,0.13813682603695598,2.2640115679154746,0.06567914567722759,0.051085581292942564,15,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0.0017613511874978664,5530959,ok
tal,goods,-0.4085855532019924,0.11720858159056009,3.485969607833729,0.009597803972423866,0.061370777965515384,15,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.0021252999052535637,45796647,ok
