gtap23,type,matched_coef,matched_SE,t_stat,other_coef,other_SE,positive,sig_1pct,sig_5pct,sig_10pct,pos_sig_1pct,pos_sig_5pct,pos_sig_10pct,matched_share,nobs,status
aff,agri,0.12285920145137101,0.10282570801583064,1.1948296182162548,0.2867871169660674,0.05328475062198957,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0033011061384722487,15675934,ok
b_t,agri,-0.020401418661223733,0.16683142263234646,0.12228762627159999,0.23506314168069734,0.09027852473687263,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0030797380273475472,2526996,ok
crp,goods,0.5710441263198376,0.0955979499158997,5.973393015459031,0.20037187029964063,0.05921177278438872,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.003971452518122537,52940785,ok
eeq,goods,0.6113277353178831,0.11633874531523904,5.254721749503054,0.23386610633647098,0.056667450655245324,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.003282906231525651,22382283,ok
enr,goods,1.0130631915657238,0.17343905797653728,5.841032598913045,0.2650836031774597,0.10118037106340022,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.003621123295438956,5051116,ok
mff,goods,0.7015893994825765,0.11061714173037013,6.34250160967551,0.23142371551378835,0.06313319192470818,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.003649019804244025,53765482,ok
mvh,goods,0.9018940557263845,0.17225165659269562,5.235909329214715,0.7398638128843462,0.07984949508961355,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0029773958523166798,5842709,ok
ofd,agri,0.48856719660948766,0.09930629399166606,4.9198009206797,0.34071495901179666,0.05319841087621866,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0033927296456014696,17366552,ok
ome,goods,0.3342191887713796,0.09711727615751133,3.441397885061361,0.23495380761876383,0.051552768808748796,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0034482013093286145,50166182,ok
omf,goods,0.3753939293820417,0.11321108713722985,3.3158760230524464,0.31651621150694886,0.08012264147472412,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0034882847935758707,14980060,ok
otn,goods,-0.18660136401292826,0.2074344732212474,0.8995677580259345,0.04054612208384721,0.069125596151045,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0033668149032217427,4441798,ok
ppp,goods,0.6496422219562359,0.11535601002960116,5.631628744696814,0.3549529816962076,0.06080907734650542,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0035503665092959783,11083730,ok
prf,agri,0.33983868809546014,0.17377440021110585,1.9556314835937565,0.394406111744793,0.08083108802136192,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.003584005657793104,7674967,ok
tal,goods,0.05049734127917005,0.17842522725021348,0.28301682479213225,0.0629683650736576,0.06072999115333081,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00377931147693873,52190138,ok
