gtap23,type,matched_coef,matched_SE,t_stat,other_coef,other_SE,n_cells,positive,sig_1pct,sig_5pct,sig_10pct,pos_sig_1pct,pos_sig_5pct,pos_sig_10pct,matched_share,nobs,status
aff,agri,0.13212537917670827,0.09991060376041178,1.3224359998218844,0.28155171345730307,0.05369003817210419,15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0033011061384722487,15673225,ok
b_t,agri,-0.05648592023004733,0.1580895523444454,0.35730330937351157,0.23412618176946973,0.09096195413599548,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0030797380273475472,2526589,ok
crp,goods,0.9116005921206234,0.1065063377875112,8.559120621904592,0.2067674504466108,0.05994288509795236,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.003971452518122537,52630072,ok
eeq,goods,0.2607504256261836,0.12133551701628448,2.1490032930027256,0.2306712364752703,0.05709085976403079,15,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0.003282906231525651,22311501,ok
enr,goods,1.169024183720886,0.18427684477383086,6.343847406089834,0.2594994959546171,0.10163854235833196,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.003621123295438956,5024401,ok
mff,goods,1.0137912881274236,0.10556288512569406,9.603671659033372,0.2357585304592367,0.06356637638925279,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.003649019804244025,53502651,ok
mvh,goods,1.0913774298080827,0.2311349010787901,4.721820134969795,0.7284471888138085,0.08152941393641827,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0029773958523166798,5826660,ok
ofd,agri,0.4025005207742234,0.08729671981446442,4.610717580565175,0.34635852007390944,0.05342534347741523,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0033927296456014696,17362884,ok
ome,goods,0.7208229220646031,0.1136321050931799,6.343479437202349,0.23152077211780206,0.052088158568008816,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0034482013093286145,49934340,ok
omf,goods,0.4482779834734314,0.14734468658522754,3.042376307299939,0.3163960133875345,0.08104562549387766,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0034882847935758707,14928130,ok
otn,goods,0.6049633532878192,0.2190514947706459,2.761740356628179,0.03472685926280927,0.06934748465638027,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0033668149032217427,4425934,ok
ppp,goods,0.8015213550932027,0.11798328711641949,6.793516053695851,0.35221012738642055,0.06194159052630987,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0035503665092959783,11040406,ok
prf,agri,0.4935081642760887,0.15343007469234846,3.216502144482759,0.39026697733867266,0.08111383221311527,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.003584005657793104,7673531,ok
tal,goods,-0.26402460527761096,0.15014870339465408,1.7584208142220383,0.0567825154959439,0.06109627719610042,15,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.00377931147693873,51974115,ok
