gtap23,type,matched_coef,matched_SE,t_stat,other_coef,other_SE,positive,sig_1pct,sig_5pct,sig_10pct,pos_sig_1pct,pos_sig_5pct,pos_sig_10pct,matched_share,nobs,status
aff,agri,-0.22290535983539012,0.08078786013240952,2.7591442510056976,0.03072135153564025,0.04887142119440667,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.0033011061384722487,12314839,ok
b_t,agri,0.17091854015348856,0.12389550926356652,1.379537815126847,0.05933885695869387,0.059052337984253765,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0030797380273475472,1573656,ok
crp,goods,0.015234994191087023,0.04635191044277798,0.3286810413110117,-0.011339971673711327,0.025725348723907866,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.003971452518122537,46808256,ok
eeq,goods,0.143430314229643,0.08558417014479709,1.6758977038274472,-0.09491612057276627,0.036650946888565794,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.003282906231525651,17680033,ok
enr,goods,-0.10065622122608896,0.10891258045223906,0.9241927866196253,-0.049858470713551324,0.0667737895714499,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.003621123295438956,3666398,ok
mff,goods,0.08378815354865125,0.06281179554210185,1.3339557136603306,0.14549787249393348,0.04563138990564877,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.003649019804244025,46698984,ok
mvh,goods,-0.12721162607094622,0.09438700604874324,1.347766301701017,0.035316208642375474,0.05754610138577545,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0029773958523166798,3744770,ok
ofd,agri,0.034420354453817414,0.056828691401128326,0.6056862054214749,0.0789481097783559,0.028642572195578257,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0033927296456014696,13548719,ok
ome,goods,0.029162902851552194,0.0442526812862406,0.659008720012176,-0.009346201235200965,0.024228804245364874,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0034482013093286145,42318873,ok
omf,goods,0.010475941810214932,0.07239079997424641,0.14471371795783208,0.0020733218781122872,0.03874629631144181,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0034882847935758707,12070693,ok
otn,goods,-0.3305440721859154,0.21280560136103788,1.5532677244953104,-0.09009914630775012,0.0675873821260524,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0033668149032217427,2933699,ok
ppp,goods,-0.08342578078216555,0.07003618245421075,1.1911811560647074,-0.06359965393159786,0.032170274304111714,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0035503665092959783,7838530,ok
prf,agri,-0.033584063288869204,0.0963990130177432,0.3483859661788002,0.12835122779744446,0.05222072445233105,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.003584005657793104,5530959,ok
tal,goods,0.1110660423236,0.07857575883206924,1.4134899105584005,-0.024933718332249527,0.05962944794161378,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00377931147693873,45796647,ok
