gtap23,type,matched_coef,matched_SE,t_stat,other_coef,other_SE,n_cells,positive,sig_1pct,sig_5pct,sig_10pct,pos_sig_1pct,pos_sig_5pct,pos_sig_10pct,matched_share,nobs,status
aff,agri,-0.11909708548049751,0.07853463657203405,1.5164912028498216,0.021556598734294462,0.04954003581145486,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0033011061384722487,12312185,ok
b_t,agri,0.13803835830678451,0.1058740299989768,1.3037980920166972,0.060909265450083926,0.059408945335001816,15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0030797380273475472,1573280,ok
crp,goods,-0.07217408528625913,0.05512315180644007,1.3093243568454114,-0.013232255035701385,0.02604500216377212,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.003971452518122537,46557430,ok
eeq,goods,-0.36196800778826865,0.11264822013189409,3.213259893183032,-0.09345483799051024,0.03657649015516415,15,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.003282906231525651,17627865,ok
enr,goods,0.18928304297973503,0.16675744198124934,1.1350800343952177,-0.05491947010639836,0.06533919908141393,15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.003621123295438956,3652976,ok
mff,goods,0.12785618679829375,0.07402106043226277,1.7272947192548789,0.15074141899726595,0.045925886860095494,15,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.003649019804244025,46503725,ok
mvh,goods,-0.3376666084422842,0.14110050862151718,2.3930927800411315,0.038094629869358645,0.058556586602714275,15,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.0029773958523166798,3735056,ok
ofd,agri,0.05871360207200517,0.06588050888336136,0.891213548091365,0.0822316032789531,0.02929321426974796,15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0033927296456014696,13545149,ok
ome,goods,-0.07091670558308298,0.06891870263276859,1.02899072202448,-0.010414213920149986,0.02433786328015281,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0034482013093286145,42141692,ok
omf,goods,-0.025931082724246282,0.08564111212902067,0.30278778590801575,0.0011404804970714458,0.03925532446933256,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0034882847935758707,12030891,ok
otn,goods,-0.3842029303333743,0.1837103328092903,2.0913517735130087,-0.10345607897480733,0.06924563220329595,15,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.0033668149032217427,2925783,ok
ppp,goods,-0.04828040474878884,0.08445657126366095,0.5716595408315186,-0.06526379907863641,0.03236649589724163,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0035503665092959783,7809806,ok
prf,agri,0.07319677122895792,0.0862814285653814,0.84834908793254,0.12264606974286636,0.05334730927510302,15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.003584005657793104,5529603,ok
tal,goods,0.07601942272463703,0.11175400793559472,0.6802388936998842,-0.02171566070024431,0.06020090226311168,15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00377931147693873,45604954,ok
